RECORDID,CONCEPTID,COMPANYID,EMPLOYEETYPEID,POSITIONTYPEID,EMPLOYEESTATUSID,JOBSTATUSID,CLASSIFICATIONID,GROUPGRADELEVELID,INTEGRATIONID,JOURNEYID,WORKINGHOURS,ADDITIONALSHIFT,LEVELID,ECONOMICZONEID,SERVICEID,ANTIQUITYID,ANTIQUITY2ID,ANTIQUITY3ID,ANTIQUITY4ID,FORRISK,GENDERID,HASCHILDREN,SCHOOLARSHIPID,HASSYNDICATE,STARTDATE,ENDDATE,REGISTRATIONSTARTDATE,REGISTRATIONENDDATE,AUTHORIZATIONDATE,CONCEPTAMOUNT,CURRENCYID,CONCEPTQTTYID,CONCEPTTYPEID,APPLIESTOID,CONCEPTMIN,CONCEPTMINQTTYID,CONCEPTMAX,CONCEPTMAXQTTYID,POSITIONID,STARTUSERID,ENDUSERID,STATUSID
12345908,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2953.225,0,1,1,-1,0,1,0,1,1175,2,2,1
12345909,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,951,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3302.41,0,1,1,-1,0,1,0,1,1173,2,2,1
12345910,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,954,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3302.41,0,1,1,-1,0,1,0,1,1176,2,2,1
12345911,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,955,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3302.41,0,1,1,-1,0,1,0,1,1177,2,2,1
12345912,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3065.315,0,1,1,-1,0,1,0,1,1178,2,2,1
12345913,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,952,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3065.315,0,1,1,-1,0,1,0,1,1174,2,2,1
12345914,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2953.225,0,1,1,-1,0,1,0,1,1179,2,2,1
12345915,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3065.315,0,1,1,-1,0,1,0,1,1171,2,2,1
12345916,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,952,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3065.315,0,1,1,-1,0,1,0,1,1180,2,2,1
12345917,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,958,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3181.655,0,1,1,-1,0,1,0,1,1181,2,2,1
12345918,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,958,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3181.655,0,1,1,-1,0,1,0,1,1182,2,2,1
12345919,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,951,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3302.41,0,1,1,-1,0,1,0,1,1183,2,2,1
12345920,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2953.225,0,1,1,-1,0,1,0,1,1184,2,2,1
12345921,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,953,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3065.315,0,1,1,-1,0,1,0,1,1185,2,2,1
12345922,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,956,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2953.225,0,1,1,-1,0,1,0,1,1186,2,2,1
